==== TASK RELATIONSHIPS TABLE ====
First,Second,Relationship
1,2,Finish <= Start
1,3,Start <= Start
1,5,Finish <= Finish
2,4,Finish <= Start
2,6,Start <= Start
2,8,Finish <= Finish
3,5,Finish <= Start
3,7,Start <= Start
4,8,Finish <= Start
4,9,Start <= Start
5,10,Finish <= Start
5,11,Finish <= Finish
6,12,Finish <= Start
6,13,Start <= Start
7,14,Finish <= Start
7,15,Finish <= Finish
8,16,Finish <= Start
8,17,Start <= Start
9,18,Finish <= Start
9,19,Finish <= Finish
10,20,Finish <= Start
10,21,Start <= Start
11,22,Finish <= Start
11,23,Finish <= Finish
12,24,Finish <= Start
12,25,Start <= Start
13,26,Finish <= Start
13,27,Finish <= Finish
14,28,Finish <= Start
14,29,Start <= Start
15,30,Finish <= Start
15,31,Finish <= Finish
16,32,Finish <= Start
16,33,Start <= Start
17,34,Finish <= Start
17,35,Finish <= Finish
18,36,Finish <= Start
18,37,Start <= Start
19,38,Finish <= Start
19,39,Finish <= Finish
20,40,Finish <= Start
20,41,Start <= Start
21,25,Finish <= Start
21,26,Start <= Start
22,27,Finish <= Start
22,28,Finish <= Finish
23,29,Finish <= Start
23,30,Start <= Start
24,31,Finish <= Start
24,32,Finish <= Finish
25,33,Finish <= Start
25,34,Start <= Start
26,35,Finish <= Start
26,36,Finish <= Finish
27,37,Finish <= Start
27,38,Start <= Start
28,39,Finish <= Start
28,40,Finish <= Finish
29,41,Finish <= Start
29,42,Start <= Start
30,43,Finish <= Start
30,44,Finish <= Finish
31,45,Finish <= Start
31,46,Start <= Start
32,47,Finish <= Start
32,48,Finish <= Finish
33,49,Finish <= Start
33,50,Start <= Start
34,51,Finish <= Start
34,52,Finish <= Finish
35,53,Finish <= Start
35,54,Start <= Start
36,55,Finish <= Start
36,56,Finish <= Finish
37,57,Finish <= Start
37,58,Start <= Start
38,59,Finish <= Start
38,60,Finish <= Finish
39,61,Finish <= Start
39,62,Start <= Start
40,63,Finish <= Start
40,64,Finish <= Finish
41,45,Finish <= Start
41,46,Start <= Start
42,47,Finish <= Start
42,48,Finish <= Finish
43,49,Finish <= Start
43,50,Start <= Start
44,51,Finish <= Start
44,52,Finish <= Finish
45,53,Finish <= Start
45,54,Start <= Start
46,55,Finish <= Start
46,56,Finish <= Finish
47,57,Finish <= Start
47,58,Start <= Start
48,59,Finish <= Start
48,60,Finish <= Finish
49,61,Finish <= Start
49,62,Start <= Start
50,63,Finish <= Start
50,64,Finish <= Finish
51,65,Finish <= Start
51,66,Start <= Start
52,67,Finish <= Start
52,68,Finish <= Finish
53,69,Finish <= Start
53,70,Start <= Start
54,71,Finish <= Start
54,72,Finish <= Finish
55,73,Finish <= Start
55,74,Start <= Start
56,75,Finish <= Start
56,76,Finish <= Finish
57,77,Finish <= Start
57,78,Start <= Start
58,79,Finish <= Start
58,80,Finish <= Finish
59,81,Finish <= Start
59,82,Start <= Start
60,83,Finish <= Start
60,84,Finish <= Finish
61,65,Finish <= Start
61,66,Start <= Start
62,67,Finish <= Start
62,68,Finish <= Finish
63,69,Finish <= Start
63,70,Start <= Start
64,71,Finish <= Start
64,72,Finish <= Finish
65,73,Finish <= Start
65,74,Start <= Start
66,75,Finish <= Start
66,76,Finish <= Finish
67,77,Finish <= Start
67,78,Start <= Start
68,79,Finish <= Start
68,80,Finish <= Finish
69,81,Finish <= Start
69,82,Start <= Start
70,83,Finish <= Start
70,84,Finish <= Finish
71,85,Finish <= Start
71,86,Start <= Start
72,87,Finish <= Start
72,88,Finish <= Finish
73,89,Finish <= Start
73,90,Start <= Start
74,91,Finish <= Start
74,92,Finish <= Finish
75,93,Finish <= Start
75,94,Start <= Start
76,95,Finish <= Start
76,96,Finish <= Finish
77,97,Finish <= Start
77,98,Start <= Start
78,99,Finish <= Start
78,100,Finish <= Finish
79,95,Finish <= Start
80,96,Finish <= Start
81,85,Finish <= Start
81,86,Start <= Start
82,87,Finish <= Start
82,88,Finish <= Finish
83,89,Finish <= Start
83,90,Start <= Start
84,91,Finish <= Start
84,92,Finish <= Finish
85,93,Finish <= Start
85,94,Start <= Start
86,95,Finish <= Start
86,96,Finish <= Finish
87,97,Finish <= Start
87,98,Start <= Start
88,99,Finish <= Start
88,100,Finish <= Finish
89,97,Finish <= Start
90,98,Finish <= Start
91,99,Finish <= Start
92,100,Finish <= Start
93,99,Finish <= Start
94,100,Finish <= Start

==== TASK DURATION AND RESOURCE TABLE ====
Task,Duration (minutes),Resource Type,Mechanics Required
1,30,Mechanic Team 1,1
2,60,Mechanic Team 1,2
3,20,Mechanic Team 2,1
4,120,Mechanic Team 1,3
5,40,Mechanic Team 2,1
6,90,Mechanic Team 3,2
7,30,Mechanic Team 2,1
8,60,Mechanic Team 1,2
9,50,Mechanic Team 3,1
10,120,Mechanic Team 1,4
11,20,Mechanic Team 4,1
12,60,Mechanic Team 3,2
13,30,Mechanic Team 4,1
14,90,Mechanic Team 2,3
15,40,Mechanic Team 4,1
16,60,Mechanic Team 1,2
17,30,Mechanic Team 5,1
18,120,Mechanic Team 3,3
19,20,Mechanic Team 5,1
20,90,Mechanic Team 1,2
21,40,Mechanic Team 2,1
22,60,Mechanic Team 4,2
23,30,Mechanic Team 5,1
24,120,Mechanic Team 3,4
25,50,Mechanic Team 2,1
